CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
MAK;SAN MARTIN GENERAL JOSE DE;678;MENDOZA;MENDOZA;LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
MAC;PAZ GENERAL GREGORIO;501;MENDOZA;MENDOZA;LUN A VIE 08.30 A 15.30
MCU;25 DE MAYO;389;SAN MARTIN;MENDOZA;LUN A VIE 08.00 A 15.00
MAM;MORENO PERITO FRANCISCO P;50;GODOY CRUZ;MENDOZA;LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
MAZ;AZCUENAGA;160;LUJAN DE CUYO;MENDOZA;LUN A VIE 08.30 A 15.30
MAS;SAN MARTIN GENERAL JOSE DE;335;MAIPU;MENDOZA;LUN A VIE 08.30 A 15.30
MDB;DEL VALLE ARISTOBULO;189;RIVADAVIA;MENDOZA;LUN A VIE 08.00 A 15.00
AFA;SAN LORENZO;69;SAN RAFAEL;MENDOZA;LUN A VIE 08.00 A 15.00
NAA;BOLIVAR GENERAL SIMON;2112;POSADAS;MISIONES;LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
NCR;SAN MARTIN GENERAL JOSE DE;1690;ELDORADO;MISIONES;LUN A VIE 08.00 A 14.00
NCH;SAN MARTIN GENERAL JOSE DE;384;PUERTO IGUAZU;MISIONES;LUN A VIE 08.00 A 13.00
NBW;SANTA FE;205;OBERA;MISIONES;LUN A VIE 08.00 A 14.00
HBZ;9 DE JULIO;920;FORMOSA;FORMOSA;LUN A VIE 08.00 A 19.00
QAY;SANTA FE;101;NEUQUEN;NEUQUEN;LUN A VIE 09.00 A 17.00 / SAB 09.00 A 13.00
