CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
VJY;INDEPENDENCIA BERGANTIN;556;PILAR;BUENOS AIRES;LUN A DOM 08.00 A 24.00
VJZ;ALBERDI JUAN BAUTISTA;340;BELEN DE ESCOBAR;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 14.30 A 18.00 / SAB 09.00 A 13.00
VKC;DON BOSCO;0;FERRE;BUENOS AIRES;LUN A VIE 09.00 A 20.00 / SAB A DOM 10.00 A 18.00
VKE;SAN MARTIN GENERAL JOSE DE;558;HILARIO ASCASUBI;BUENOS AIRES;LUN A VIE 07.00 A 21.00 / SAB 08.00 A 13.00 / SAB 16.00 A 21.00
VKF;LAS RETAMAS;0;VILLA ARCADIA;BUENOS AIRES;LUN A DOM 09.00 A 19.00
VKG;KIRCHNER NESTOR;1227;EZEIZA;BUENOS AIRES;LUN A VIE 15.00 A 19.00 / LUN A VIE 09.30 A 13.00
VKH;LIMA;1363;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 17.00
VKI;RIVADAVIA;14290;RAMOS MEJIA;BUENOS AIRES;LUN A VIE 08.00 A 20.00 / SAB 08.00 A 13.00
VKJ;RIVADAVIA;5541;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A SAB 09.00 A 21.00
VKL;NICARAGUA;2783;CORRIENTES;CORRIENTES;LUN A VIE 07.30 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 08.00 A 13.00
VKM;BUSTAMANTE RICARDO;4992;POSADAS;MISIONES;LUN A VIE 08.00 A 11.00 / LUN A VIE 17.00 A 21.00
VKO;RUTA 6 KM 33;0;CHOYA;SANTIAGO DEL ESTERO;LUN A DOM 08.00 A 24.00
VKP;CROACIA;2729;JOSE C PAZ;BUENOS AIRES;LUN A VIE 08.30 A 19.00
VKQ;DEAN FUNES GREGORIO;5463;INGENIERO ADOLFO SOURDEAUX;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
VKS;CRAMER;1800;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 08.00 A 21.00 / SAB 10.00 A 20.00
VKT;SAN MARTIN;860;BRINKMANN;CORDOBA;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.30 A 20.00 / SAB 08.30 A 12.30 / SAB 17.00 A 20.00
VKV;SAN MARTIN GENERAL JOSE DE;788;ONCATIVO;CORDOBA;LUN A VIE 08.00 A 13.00
VKW;REPUBLICA;478;TOLEDO;CORDOBA;LUN A SAB 09.00 A 14.00 / LUN A SAB 17.00 A 21.00
VKX;CORDOBA;11;ISLA VERDE;CORDOBA;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30
VKY;ASTIBIA RAFAEL;313;MAYOR BURATOVICH;BUENOS AIRES;LUN A DOM 08.00 A 20.00
VKZ;LA PLATA;144;CABILDO;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.30
VLA;PRIMERA JUNTA;388;VILLA RAMALLO;BUENOS AIRES;LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 20.30 / SAB 09.00 A 12.30
VLB;9 DE JULIO;325;CORONEL HILARIO LAGOS;LA PAMPA;LUN A VIE 08.30 A 12.00 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 12.00
VLD;DEL BARCO CENTENERA;1909;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00
VLE;ARTIGAS GENERAL JOSE GERVASIO;5067;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00
VLF;LACROZE FEDERICO;1736;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
VLJ;PATRICIOS REGIMIENTO DE;866;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 16.30 A 19.00 / LUN A VIE 09.30 A 14.00 / SAB 10.00 A 14.00
VLL;ESPAÑA;576;SAN LUIS;SAN LUIS;LUN A VIE 08.00 A 18.00
VLM;MORENO MARIANO;511;SANTA LUCIA;SAN JUAN;LUN A SAB 08.00 A 14.30 / LUN A SAB 18.30 A 22.00 / DOM 19.30 A 21.00 / DOM 10.00 A 14.30
VLO;ALSINA VALENTIN;857;COMODORO RIVADAVIA;CHUBUT;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
VLP;SAN MARTIN GENERAL JOSE DE;998;GOBERNADOR GREGORES;SANTA CRUZ;LUN A SAB 17.00 A 21.00 / LUN A SAB 09.30 A 14.00
VLQ;BROWN ALMIRANTE GUILLERMO;591;PUERTO DESEADO;SANTA CRUZ;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.30 / SAB 10.00 A 14.00
VMB;FUERZA AEREA ARGENTINA;2926;CORDOBA;CORDOBA;LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00
VMC;ASTURIAS;2392;CORDOBA;CORDOBA;LUN A SAB 10.00 A 19.00
VME;LEACH ROGELIO;456;SAN PEDRO DE JUJUY;JUJUY;LUN A SAB 09.30 A 21.00 / DOM 10.30 A 14.30
VMF;ENTRE RIOS;155;GENERAL DEHEZA;CORDOBA;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00
VMG;BUSTOS LUIS;0;SAN MARTIN;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 18.30 A 21.30 / SAB 09.00 A 16.00
VMH;PELLEGRINI CARLOS;181;GENERAL ALVEAR;MENDOZA;LUN A VIE 09.00 A 12.00 / LUN A VIE 17.30 A 19.30
VMJ;AVELLANEDA DOCTOR NICOLAS;2680;VIRREYES;BUENOS AIRES;LUN A VIE 09.00 A 20.00
VMK;ACHAVAL FRAY JOSE WENCESLAO;2508;REMEDIOS DE ESCALADA;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 16.00 A 20.00
VML;RIOBAMBA;292;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 15.00
VMO;VELEZ SARSFIELD;1298;CIUDAD MADERO;BUENOS AIRES;LUN A VIE 09.00 A 19.00 / SAB 10.00 A 13.00
VMT;SAN MARTIN;775;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00 / SAB 09.00 A 13.00
VMV;ACONQUIJA;1799;YERBA BUENA;TUCUMAN;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.30 A 20.30 / SAB 09.00 A 13.00
VMW;ALACEVICH DUSSAN;50;VILLA ASCASUBI;CORDOBA;LUN A SAB 08.00 A 21.00 / DOM 09.00 A 13.00
VNC;RUIZ DE LOS LLANOS;4605;GREGORIO DE LAFERRERE;BUENOS AIRES;LUN A SAB 09.00 A 18.00
VND;PAZ GENERAL JOSE MARIA;1225;ITUZAINGO;BUENOS AIRES;LUN A VIE 09.30 A 16.30
VNG;SAN MARTIN GENERAL JOSE DE;1201;BARADERO;BUENOS AIRES;LUN A SAB 09.00 A 12.00 / LUN A SAB 17.00 A 20.00
VNI;COLON CRISTOBAL;938;AZUL;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VNJ;PELLEGRINI CARLOS;1247;AZUL;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VNK;DORREGO;2885;OLAVARRIA;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VNL;MITRE BARTOLOME;577;TANDIL;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VNM;DE LA PLAZA FORTUNATO;3191;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.30 A 18.30 / SAB 09.30 A 13.00
VNN;JUAREZ BENITO;106;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.00
VNP;CONSTITUCION;7598;MAR DEL PLATA;BUENOS AIRES;LUN A VIE 09.00 A 21.00
VNR;LOS INMIGRANTES;0;SANTA RITA;MISIONES;LUN A VIE 08.00 A 12.00 / LUN A VIE 15.00 A 19.00
VNS;MORENO MARIANO;3427;ROSARIO;SANTA FE;LUN A SAB 09.00 A 12.00 / LUN A SAB 14.00 A 19.00
VNU;HUERGO INGENIERO LUIS AUGUSTO;3596;LOS POLVORINES;BUENOS AIRES;LUN A SAB 08.30 A 13.30 / LUN A SAB 16.30 A 20.30
VNW;MAGALLANES HERNANDO DE;2287;TRUJUI;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
VNY;DEL LIBERTADOR;13035;MARTINEZ;BUENOS AIRES;LUN A VIE 09.00 A 17.30
VOA;PASO DOCTOR JUAN JOSE;0;TAMBERIAS;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 18.30 A 21.30 / SAB 09.00 A 16.00
VOF;CONCORDIA;1303;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
VOQ;59;3824;NECOCHEA;BUENOS AIRES;LUN A VIE 08.00 A 19.00
VMU;BARCAT ISA DOCTOR;330;ALPACHIRI;LA PAMPA;LUN A DOM 08.00 A 12.00 / LUN A DOM 14.00 A 22.30
VMX;SAN MARTIN GENERAL JOSE DE;3251;SALADILLO;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VOG;9 DE JULIO;56;ORENSE;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VOH;RIO SALADO;86;MECHITA;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / SAB 08.00 A 11.00
VOI;29;1;RETA;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VOJ;MOSCONI GENERAL ENRIQUE;252;BARKER;BUENOS AIRES;LUN A SAB 09.00 A 12.30
VOK;GIRADO DOCTOR ARNALDO;663;SAN FRANCISCO DE BELLOCQ;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VOL;28;300;BALNEARIO CLAROMECO;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VOM;SAN MARTIN GENERAL JOSE DE;287;COPETONAS;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VON;SAN MARTIN;1334;GENERAL PICO;LA PAMPA;LUN A VIE 08.30 A 12.00 / LUN A VIE 17.00 A 20.00 / SAB 08.30 A 13.00 / SAB 17.00 A 20.00
VPA;PROCERES ARGENTINOS;298;CHICHINALES;RIO NEGRO;LUN A DOM 08.00 A 13.00 / LUN A DOM 16.00 A 22.00
VOR;LUNA ROQUE A;0;LA RIOJA;LA RIOJA;LUN A SAB 09.00 A 21.00
VOS;ALEM LEANDRO NICEFORO;97;MENDOZA;MENDOZA;LUN A DOM 08.00 A 22.00
VOU;ESQUIU FRAY MAMERTO;960;SANTA MARIA;CATAMARCA;LUN A SAB 08.00 A 12.00 / LUN A SAB 17.00 A 21.00
VOY;INALICAN FRAY FRANCISCO;1098;HAEDO;BUENOS AIRES;LUN A VIE 08.00 A 18.00
VOZ;PERON PRESIDENTE TENIENTE GENERAL;801;GERLI;BUENOS AIRES;LUN A VIE 07.00 A 17.00
VPB;BELGRANO GENERAL MANUEL;3375;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 23.00 / DOM 10.00 A 14.00
VPC;COLON CRISTOBAL;1671;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 14.00 / LUN A SAB 17.00 A 21.00
VPE;BELGRANO GENERAL MANUEL;433;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 21.00
VPD;15;1;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A SAB 08.00 A 14.00 / LUN A SAB 17.00 A 21.00
VPG;CARCANO DOCTOR RAMON JOSE;1648;VILLA CARLOS PAZ;CORDOBA;LUN A SAB 17.00 A 21.00 / LUN A SAB 09.30 A 13.00
VPH;SAN MARTIN;25;VILLA CARLOS PAZ;CORDOBA;LUN A VIE 09.30 A 13.00 / LUN A VIE 17.00 A 21.30 / SAB 10.00 A 13.00 / SAB 17.00 A 21.00
VPI;5;0;VILLA GENERAL BELGRANO;CORDOBA;LUN A VIE 09.30 A 17.00
VPF;FUERZA AEREA ARGENTINA;2059;CORDOBA;CORDOBA;LUN A VIE 09.00 A 17.30
VPJ;LIBERTADOR;1693;ACHIRAS;CORDOBA;LUN A VIE 07.00 A 13.00 / LUN A VIE 17.00 A 22.00 / SAB A DOM 09.00 A 13.00 / SAB A DOM 17.00 A 22.00
VPQ;CAPILLA DE LOS JESUITAS;0;PUERTO YERUA;ENTRE RIOS;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
VPR;CHURRUARIN;699;PARANA;ENTRE RIOS;LUN A VIE 08.00 A 12.30 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 13.00
VPS;ARTIGAS GENERAL JOSE GERVASIO;0;GUALEGUAYCHU;ENTRE RIOS;LUN A VIE 08.00 A 17.00 / SAB 08.00 A 12.00
VPT;FRENCH;346;RESISTENCIA;CHACO;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
VPX;FERRARI JOSE PEDRO;312;BRANDSEN;BUENOS AIRES;LUN A SAB 08.00 A 19.00
VPY;GUEMES GENERAL MARTIN MIGUEL DE;1027;PUNTA ALTA;BUENOS AIRES;LUN A SAB 10.00 A 15.00 / LUN A SAB 18.00 A 23.00
VQA;ALSINA DOCTOR ADOLFO;114;PELLEGRINI;BUENOS AIRES;LUN A VIE 08.00 A 12.00
VQB;SARMIENTO DOMINGO FAUSTINO;765;SAN PEDRO;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 19.00 / SAB 08.00 A 13.30
VQC;1 DE MAYO;647;AZUL;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VQD;SAN MARTIN;743;SAN CAYETANO;BUENOS AIRES;LUN A VIE 17.00 A 22.00 / LUN A VIE 08.30 A 14.00
VPK;BELGRANO DOCTOR MANUEL;2480;MUNRO;BUENOS AIRES;LUN A VIE 15.30 A 19.00 / LUN A VIE 09.30 A 13.00
VPP;SANTA FE;862;ACASSUSO;BUENOS AIRES;LUN A VIE 09.00 A 21.00
VQG;SAN MARTIN;284;PERICO;JUJUY;LUN A VIE 08.30 A 13.00 / LUN A VIE 15.00 A 20.00 / SAB 08.30 A 13.00
VQI;RIVADAVIA;2019;ALDERETES;TUCUMAN;LUN A VIE 09.00 A 21.00 / SAB A DOM 09.00 A 13.00 / SAB A DOM 17.00 A 21.00
VQM;25 DE MAYO;1080;BELEN DE ESCOBAR;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 09.00 A 13.00
VQN;8;535;LIMA;BUENOS AIRES;LUN A VIE 07.00 A 14.00
VQO;RIVADAVIA BERNARDINO;196;URDAMPILLETA;BUENOS AIRES;LUN A VIE 08.00 A 13.00
VQR;SARMIENTO FRAGATA;125;AGUAS VERDES;BUENOS AIRES;LUN A DOM 09.00 A 14.00 / LUN A DOM 17.00 A 21.00
VQS;YRIGOYEN PRESIDENTE HIPOLITO;120;CORONEL VIDAL;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
VQU;LIBRES DEL SUR;730;MAR DE AJO;BUENOS AIRES;LUN A VIE 10.00 A 13.00
VQV;MITRE BARTOLOME;1298;GENERAL LAVALLE;BUENOS AIRES;LUN A VIE 08.00 A 20.00 / SAB 09.00 A 12.00
VQW;BELGRANO GENERAL MANUEL;800;PILAR;BUENOS AIRES;LUN A VIE 09.00 A 20.00
VQX;30;1380;VERONICA;BUENOS AIRES;LUN A DOM 09.00 A 20.00 / LUN A DOM 09.00 A 24.00
VQY;CAMELINO DOCTOR JUAN DALMACIO;465;RIO TALA;BUENOS AIRES;LUN A VIE 08.00 A 14.00 / LUN A VIE 17.00 A 21.00
VQZ;BOZZANO SENADOR FELIPE;257;SAN PEDRO;BUENOS AIRES;LUN A DOM 10.00 A 20.00
VRB;10;866;GENERAL PICO;LA PAMPA;LUN A VIE 08.00 A 21.00 / SAB 08.00 A 14.00 / SAB 16.00 A 21.00 / DOM 16.00 A 21.00
VRC;LAPRIDA FRANCISCO NARCISO DE;2101;FLORIDA;BUENOS AIRES;LUN A VIE 10.30 A 21.00 / SAB 17.30 A 20.30 / SAB 10.30 A 14.30
VRD;RIQUEZ FELIX;928;RIO GALLEGOS;SANTA CRUZ;LUN A SAB 12.00 A 21.00
VRE;ALEM LEANDRO NICEFORO;675;PICO TRUNCADO;SANTA CRUZ;LUN A DOM 10.00 A 24.00
VRF;SEMANA DE MAYO;1686;FRANCISCO ALVAREZ;BUENOS AIRES;LUN A SAB 08.00 A 12.30 / LUN A SAB 14.30 A 17.00
VRG;LA RIOJA;706;CORRIENTES;CORRIENTES;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
VRI;PEREZ MARTINOTTI MANUEL JUAN;726;PALO SANTO;FORMOSA;LUN A VIE 09.00 A 13.00
VRK;BELGRANO DOCTOR MANUEL;22293;ITUZAINGO;BUENOS AIRES;LUN A VIE 09.00 A 17.00
VRL;MENDOZA PROVINCIA DE;331;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A SAB 08.00 A 21.00 / DOM 09.00 A 15.00
VRM;SALTA;27;SAN JUAN;SAN JUAN;LUN A VIE 13.30 A 21.00 / SAB 10.00 A 14.00 / SAB 18.00 A 22.00
VRN;TUCUMAN;175;CHEPES;LA RIOJA;LUN A SAB 08.00 A 13.00 / LUN A SAB 18.00 A 22.00 / DOM 10.00 A 13.00
VRO;ANGELELLI MONSEÑOR ENRIQUE;0;CHEPES;LA RIOJA;LUN A SAB 08.30 A 24.00 / DOM 09.30 A 21.00
VRQ;COLON;802;SAN LUIS;SAN LUIS;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.00
VRR;LAVALLE;989;SAN LUIS;SAN LUIS;LUN A VIE 09.00 A 13.30 / LUN A VIE 17.00 A 21.00
VRS;CUBA;17;LAS PAREDES;MENDOZA;LUN A DOM 10.00 A 13.00 / LUN A DOM 17.00 A 20.00
VRU;ARGAÑARAZ;149;SAN SALVADOR DE JUJUY;JUJUY;LUN A VIE 09.00 A 17.00
VRX;VIAMONTE;1489;BANFIELD;BUENOS AIRES;LUN A SAB 10.00 A 19.00
VRY;DEL PINO VIRREY;2406;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 07.00 A 19.00 / SAB 09.00 A 17.00
VRZ;BARRIO 700 LOTES  CASA 12;0;28 DE NOVIEMBRE;SANTA CRUZ;LUN A VIE 14.00 A 22.00
VSA;LAS VICTORIAS;487;SAN CARLOS DE BARILOCHE;RIO NEGRO;LUN A VIE 09.30 A 13.00 / LUN A VIE 16.30 A 19.00
VSB;12 DE OCTUBRE;1918;SAN CARLOS DE BARILOCHE;RIO NEGRO;LUN A VIE 07.30 A 18.00
VSC;ESANDI MONSEÑOR NICOLAS;1200;SAN CARLOS DE BARILOCHE;RIO NEGRO;LUN A SAB 10.00 A 22.00
VSE;28 DE JULIO;890;JESUS MARIA;CORDOBA;LUN A DOM 09.00 A 21.00
VSF;LOS MISTOLES;392;SALTA;SALTA;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
VSI;GUZMAN CORONEL MAURICIO;317;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A SAB 09.00 A 22.00
VSJ;TUCUMAN;0;ALCARAZ;ENTRE RIOS;LUN A SAB 09.00 A 12.00 / LUN A SAB 16.00 A 20.00
VSO;SAN MARTIN GENERAL JOSE DE;3144;SANTA FE;SANTA FE;LUN A VIE 08.30 A 18.00 / SAB 08.30 A 12.30
VSP;LAVALLE GENERAL JUAN;8644;LOMA HERMOSA;BUENOS AIRES;LUN A VIE 08.30 A 13.00 / LUN A VIE 16.00 A 19.00 / SAB 09.00 A 13.00
VSR;CALLAO;1445;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A SAB 10.00 A 20.00
VTG;0;0;LA OVEJERIA;JUJUY;LUN A VIE 08.00 A 15.00
VTH;CATAMARCA;1177;QUILMES;BUENOS AIRES;MIERCOLES 08.00 A 13.00 / MIERCOLES 16.00 A 22.00 / VIERNES 08.00 A 13.00 / VIERNES 16.00 A 22.00
VTL;YRIGOYEN HIPOLITO;13083;MALVINAS ARGENTINAS;BUENOS AIRES;LUN A VIE 07.00 A 19.00 / SAB 10.00 A 15.00
VTM;ROJAS Y ACEVEDO P DE;1022;GERLI;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
VTO;SARMIENTO;884;RAWSON;SAN JUAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 10.00 A 20.00
VTP;DAVILA CORONEL NICOLAS;62;VILLA UNION;LA RIOJA;LUN A VIE 08.00 A 13.00 / LUN A VIE 18.00 A 22.00
VTQ;SAN MARTIN;0;FRAGA;SAN LUIS;LUN A VIE 07.00 A 19.00
VTU;VEGA PEDRO DE;0;CAYASTA;SANTA FE;LUN A VIE 07.30 A 13.00 / LUN A VIE 17.00 A 20.30 / SAB 17.00 A 20.30 / SAB 09.30 A 13.00
VTV;SAN MARTIN;1792;CORONDA;SANTA FE;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.30 A 20.00 / SAB 08.30 A 12.30
VTW;CAMINO A NUEVA ESCOCIA;0;NUEVA ESCOCIA;ENTRE RIOS;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
VTZ;PERON EVA;0;LOS COCOS;CORDOBA;LUN A VIE 07.00 A 14.00
VUB;LAPRIDA FRANCISCO NARCISO DE;1765;FLORIDA;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / LUN A VIE 14.00 A 18.00
VUC;SANTA MARIA;889;FLORIDA;BUENOS AIRES;LUN A VIE 07.00 A 22.00 / SAB 09.00 A 22.00
VUD;ZAPATA MARTIN;6870;GREGORIO DE LAFERRERE;BUENOS AIRES;LUN A VIE 09.00 A 18.00
VUE;VILELA;4738;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
VUF;SANTIAGO DEL ESTERO;2711;SAN MIGUEL;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 13.00
VUG;OLAVARRIA;1709;CIUDAD MADERO;BUENOS AIRES;LUN A VIE 08.00 A 13.30 / LUN A VIE 16.00 A 20.00 / SAB 09.30 A 13.00
VSV;RIVADAVIA;851;MAR DE AJO;BUENOS AIRES;LUN A SAB 10.00 A 19.00
VSX;ILLIA PRESIDENTE ARTURO HUMBERTO;1280;SAN NICOLAS DE LOS ARROYOS;BUENOS AIRES;LUN A SAB 09.00 A 13.30 / LUN A SAB 17.00 A 19.30
VSY;CENTRAL;2150;SAN NICOLAS DE LOS ARROYOS;BUENOS AIRES;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 12.00
VSZ;MORENO DOCTOR MARIANO;0;TODD;BUENOS AIRES;LUN A DOM 08.00 A 13.00 / LUN A DOM 17.00 A 21.30
VTC;SHAW ENRIQUE;533;PINAMAR;BUENOS AIRES;LUN A VIE 09.00 A 14.30
VVA;SAN MARTIN GENERAL JOSE DE;965;PILA;BUENOS AIRES;LUN A SAB 08.00 A 20.00
VVE;SARMIENTO DOMINGO FAUSTINO;719;GENERAL ALVEAR;BUENOS AIRES;LUN A SAB 08.00 A 19.00
VVF;RODEZ CIUDAD DE;161;PIGUE;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
VVG;LA RIOJA;1465;9 DE JULIO;BUENOS AIRES;LUN A SAB 08.00 A 22.00
VVH;HUMBERTO PRIMO;2;PUAN;BUENOS AIRES;LUN A DOM 07.00 A 22.00
VVK;24;399;LA PLATA;BUENOS AIRES;LUN A VIE 12.00 A 17.00
VVL;GUEMES GENERAL MARTIN MIGUEL DE;1592;9 DE JULIO;BUENOS AIRES;LUN A SAB 08.00 A 22.00
VVN;URLEZAGA DOCTOR JOSE HECTOR PICHI;38;CHILLAR;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VUN;PRINGLES CORONEL JUAN PASCUAL;987;SAN LUIS;SAN LUIS;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00
VTE;POSADAS;0;LA RIOJA;LA RIOJA;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.30 A 21.30 / SAB 18.00 A 22.00
VTD;LA COLONIA;535;LA COLONIA;MENDOZA;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00
VUJ;LA QUINTA 1;0;VISTA ALEGRE NORTE;NEUQUEN;LUN A VIE 08.00 A 18.00
VSS;NAMUNCURA CEFERINO;487;SAN CARLOS DE BARILOCHE;RIO NEGRO;LUN A SAB 08.30 A 14.00
VUT;BUENOS AIRES;1276;LUIS GUILLON;BUENOS AIRES;LUN A VIE 08.00 A 18.30 / SAB 08.00 A 13.00
VUS;SAN JUAN;2488;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 07.00 A 18.00 / SAB 11.00 A 18.00
VUU;JUJUY;1028;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00
VUY;BELGRANO DOCTOR MANUEL;297;TILISARAO;SAN LUIS;LUN A VIE 08.30 A 13.00 / LUN A VIE 17.00 A 21.00
VUP;VIRGEN DEL VALLE;489;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A SAB 08.30 A 13.30 / LUN A SAB 15.30 A 19.30
VUR;BELGRANO DOCTOR MANUEL;2390;MENDOZA;MENDOZA;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00
VUX;TUCUMAN;64;LOZADA;CORDOBA;LUN A VIE 07.00 A 13.30
VVO;25;170;RETA;BUENOS AIRES;LUN A VIE 09.00 A 12.00
VVR;ESTOMBA;2825;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00
VVU;ECHEANDIA;3353;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 17.00
VVW;PEREZ ENRIQUE SIMON;4920;GONZALEZ CATAN;BUENOS AIRES;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.00 A 20.00
VWF;DEL FUNDADOR;0;SAN LUIS;SAN LUIS;LUN A VIE 08.00 A 24.00
VWG;DEL CIRCUITO;0;POTRERO DE LOS FUNES;SAN LUIS;LUN A VIE 08.00 A 24.00
VWH;SARMIENTO;829;SAN LUIS;SAN LUIS;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00
VWI;9 DE JULIO;355;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 08.30 A 19.30 / SAB 09.30 A 12.30
VWK;SANTO DOMINGO;0;RODEO;SAN JUAN;LUN A VIE 18.00 A 22.00 / LUN A VIE 10.00 A 13.30
VWP;EDISON THOMAS ALVA;1385;EL JAGUEL;BUENOS AIRES;LUN A VIE 09.00 A 13.30 / LUN A VIE 16.00 A 19.00
VWQ;ALVEAR GENERAL CARLOS MARIA DE;1504;BANFIELD;BUENOS AIRES;LUN A VIE 10.30 A 19.00
